district,COUNTYFP,date ,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Erie,29,1/1/21,1,2021,-4.38445164,-0.684475759,3.015500122,19.33145519,74.01871581,0.16772387
Erie,29,1/2/21,2,2021,-1.271727965,0.317608533,1.906945031,0.441773053,73.07061002,0.159331132
Erie,29,1/3/21,3,2021,-0.969362458,0.58982434,2.149011138,0.800870629,69.99588856,0.181888363
Erie,29,1/4/21,4,2021,-0.677155335,0.410315297,1.49778593,0.350514812,72.39378677,0.162016641
Erie,29,1/5/21,5,2021,-0.928882512,0.514091629,1.95706577,0.125532178,72.90385198,0.161889444
Erie,29,1/6/21,6,2021,-1.664568246,-0.567207485,0.530153275,0.016138992,73.4163618,0.145674967
Erie,29,1/7/21,7,2021,-5.167321055,-3.024974541,-0.882628027,0,78.67443525,0.100683997
Erie,29,1/8/21,8,2021,-9.381071977,-6.073541914,-2.76601185,0,85.00772684,0.051820132
Erie,29,1/9/21,9,2021,-8.483136844,-2.916718094,2.649700655,0,68.95502407,0.200873866
Erie,29,1/10/21,10,2021,-5.783551563,-2.630083187,0.523385188,0,78.71291649,0.112625151
Erie,29,1/11/21,11,2021,-3.433919204,-0.15091174,3.132095723,0.03859002,72.99942407,0.172110035
Erie,29,1/12/21,12,2021,-3.238274557,-2.193093405,-1.147912253,0.633005047,80.44378497,0.091276765
Erie,29,1/13/21,13,2021,-2.314995844,0.6209548,3.556905443,0.013777188,72.6948268,0.178544482
Erie,29,1/14/21,14,2021,-0.7294904,1.245380888,3.220252176,0.006366064,72.87628937,0.174442354
Erie,29,1/15/21,15,2021,-2.933626075,1.280808694,5.495243464,2.64633611,76.28527274,0.182190767
Erie,29,1/16/21,16,2021,-3.147656176,-0.344979974,2.457696228,0.758043259,81.38878975,0.110500454
Erie,29,1/17/21,17,2021,-1.98906254,0.42649063,2.842043801,6.607573214,79.37047075,0.127452956
Erie,29,1/18/21,18,2021,-2.909753298,-1.130756954,0.648239391,7.457160284,80.29050846,0.10291922
Erie,29,1/19/21,19,2021,-5.456797167,-2.85728024,-0.257763314,10.59346718,85.53239303,0.069842547
Erie,29,1/20/21,20,2021,-7.163945371,-4.206173348,-1.248401325,0.242121919,73.43808915,0.123888949
Erie,29,1/21/21,21,2021,-1.742521125,0.213181384,2.168883893,0.292320279,69.48599456,0.184362854
Erie,29,1/22/21,22,2021,-8.457730172,-4.579976584,-0.702222995,1.046647939,84.36004682,0.055066454
Erie,29,1/23/21,23,2021,-9.574813763,-7.024381842,-4.473949921,0.059410939,67.62905404,0.120069002
Erie,29,1/24/21,24,2021,-9.914884248,-6.631711827,-3.348539405,0,79.16523747,0.082115435
Erie,29,1/25/21,25,2021,-8.848393839,-3.782203304,1.283987232,0,76.39010905,0.126419937
