population,temperature,lifespan
albany,22,34
albany,22,27
albany,22,49
albany,22,23
albany,22,41
albany,22,23
albany,22,32
albany,22,24
albany,22,29
albany,22,34
albany,22,44
albany,22,16
albany,22,24
albany,22,24
albany,22,16
albany,22,19
albany,22,29
albany,22,39
albany,22,28
albany,22,11
albany,22,22
albany,22,30
albany,22,38
albany,22,25
albany,22,22
albany,22,27
albany,22,17
albany,22,1
albany,22,22
albany,22,28
albany,22,31
albany,22,17
albany,22,36
albany,22,52
albany,22,1
albany,22,41
albany,22,41
albany,22,18
albany,22,10
albany,22,7
albany,22,8
albany,22,33
albany,22,26
albany,22,24
albany,22,21
albany,22,19
albany,22,23
albany,22,18
albany,25,27
albany,25,26
albany,25,9
albany,25,17
albany,25,1
albany,25,22
albany,25,26
albany,25,23
albany,25,18
albany,25,15
albany,25,22
albany,25,13
albany,25,40
albany,25,33
albany,25,15
albany,25,30
albany,25,28
albany,25,29
albany,25,30
albany,25,10
albany,25,16
albany,25,21
albany,25,16
albany,25,20
albany,25,13
albany,25,19
albany,25,30
albany,25,23
albany,25,22
albany,25,29
albany,25,26
albany,25,8
albany,25,26
albany,25,19
albany,25,11
albany,25,11
albany,25,16
albany,25,24
albany,25,16
albany,25,16
albany,25,6
albany,25,13
albany,25,31
albany,25,6
albany,25,22
albany,25,19
albany,25,15
albany,25,37
albany,25,32
albany,25,29
albany,28,10
albany,28,9
albany,28,16
albany,28,8
albany,28,12
albany,28,10
albany,28,35
albany,28,21
albany,28,11
albany,28,9
albany,28,15
albany,28,15
albany,28,22
albany,28,20
albany,28,9
albany,28,21
albany,28,12
suffolk,22,6
suffolk,22,10
suffolk,22,42
suffolk,22,31
suffolk,22,7
suffolk,22,34
suffolk,22,25
suffolk,22,8
suffolk,22,39
suffolk,22,42
suffolk,22,24
suffolk,22,8
suffolk,22,2
suffolk,22,24
suffolk,22,40
suffolk,22,13
suffolk,22,35
suffolk,22,6
suffolk,22,39
suffolk,22,17
suffolk,22,30
suffolk,22,11
suffolk,22,41
suffolk,22,6
suffolk,22,13
suffolk,22,16
suffolk,22,26
suffolk,22,8
suffolk,22,6
suffolk,22,8
suffolk,22,5
suffolk,22,30
suffolk,22,19
suffolk,22,47
suffolk,22,30
suffolk,22,34
suffolk,22,1
suffolk,22,41
suffolk,22,37
suffolk,22,32
suffolk,22,12
suffolk,22,29
suffolk,22,9
suffolk,22,32
suffolk,22,37
suffolk,22,4
suffolk,22,42
suffolk,22,34
suffolk,22,38
suffolk,22,8
suffolk,25,14
suffolk,25,1
suffolk,25,25
suffolk,25,5
suffolk,25,17
suffolk,25,1
suffolk,25,27
suffolk,25,15
suffolk,25,41
suffolk,25,30
suffolk,25,7
suffolk,25,6
suffolk,25,33
suffolk,25,34
suffolk,25,24
suffolk,25,21
suffolk,25,38
suffolk,25,42
suffolk,25,1
suffolk,25,25
suffolk,25,29
suffolk,25,15
suffolk,25,24
suffolk,25,24
suffolk,25,34
suffolk,25,1
suffolk,25,34
suffolk,25,31
suffolk,25,40
suffolk,25,39
suffolk,25,21
suffolk,25,6
suffolk,25,31
suffolk,25,27
suffolk,25,31
suffolk,25,32
suffolk,25,31
suffolk,25,35
suffolk,25,33
suffolk,25,26
suffolk,25,18
suffolk,25,19
suffolk,25,36
suffolk,25,15
suffolk,25,30
suffolk,25,23
suffolk,25,31
suffolk,25,38
suffolk,25,25
suffolk,28,20
suffolk,28,9
suffolk,28,2
suffolk,28,15
suffolk,28,23
suffolk,28,19
suffolk,28,17
suffolk,28,16
suffolk,28,19
suffolk,28,21
suffolk,28,17
suffolk,28,16
suffolk,28,32
suffolk,28,25
suffolk,28,10
suffolk,28,32
suffolk,28,5
suffolk,28,14
suffolk,28,20
suffolk,28,10
suffolk,28,23
suffolk,28,21
suffolk,28,12
suffolk,28,6
suffolk,28,24
suffolk,28,7
suffolk,28,20
suffolk,28,24
suffolk,28,1
suffolk,28,13
suffolk,28,13
suffolk,28,23
suffolk,28,19
suffolk,28,35
suffolk,28,10
suffolk,28,8
suffolk,28,24
suffolk,28,22
suffolk,28,10
suffolk,28,10
suffolk,28,14
suffolk,28,14
suffolk,28,24
suffolk,28,7
suffolk,28,17
suffolk,28,4
suffolk,28,19
suffolk,28,10
suffolk,28,24
suffolk,28,10
