district,COUNTYFP,date,doy,year,tminc,tmeanc,tmaxc,pr,rmean,vpd
Suffolk,103,1/1/21,1,2021,-0.979980529,3.457675681,7.895331892,17.74513459,61.18923333,0.349848256
Suffolk,103,1/2/21,2,2021,0.693909749,6.171590832,11.64927192,0.06680942,67.20728232,0.395486308
Suffolk,103,1/3/21,3,2021,1.500360382,2.939961516,4.37956265,2.273991595,72.31066983,0.205764289
Suffolk,103,1/4/21,4,2021,-1.185997309,2.581103782,6.348204873,0.009856836,66.4430156,0.275792969
Suffolk,103,1/5/21,5,2021,-0.300507249,2.506699507,5.313906264,0,61.18621236,0.296703052
Suffolk,103,1/6/21,6,2021,0.102060493,2.385875772,4.669691051,0,54.77785354,0.33230122
Suffolk,103,1/7/21,7,2021,-2.523025098,1.353174617,5.229374331,0,52.06084971,0.349825764
Suffolk,103,1/8/21,8,2021,-3.097828246,0.360361034,3.818550315,0,52.95042128,0.314307683
Suffolk,103,1/9/21,9,2021,-2.544024135,-0.007873103,2.528277929,0,50.711419,0.30738718
Suffolk,103,1/10/21,10,2021,-5.471668656,-0.40238297,4.666902717,0,54.25370245,0.319404774
Suffolk,103,1/11/21,11,2021,-4.445743468,-0.76886664,2.908010187,0,65.59774191,0.221787309
Suffolk,103,1/12/21,12,2021,-3.633261088,1.239959244,6.113179576,0,60.10224253,0.317465178
Suffolk,103,1/13/21,13,2021,-1.500484656,1.910413044,5.321310745,0,57.11688258,0.321608666
Suffolk,103,1/14/21,14,2021,0.046109655,4.11854707,8.190984484,0,69.37096715,0.289831637
Suffolk,103,1/15/21,15,2021,3.214726395,5.917345191,8.619963986,31.20181208,64.02738794,0.346696557
Suffolk,103,1/16/21,16,2021,1.578289926,5.361095077,9.143900229,2.182691205,75.47014209,0.252399932
Suffolk,103,1/17/21,17,2021,1.426748962,4.089253255,6.751757547,0.002365455,54.78960042,0.379680894
Suffolk,103,1/18/21,18,2021,-0.789960091,3.331405979,7.452772049,0,57.47583972,0.366229419
Suffolk,103,1/19/21,19,2021,-0.913062834,2.335589209,5.584241251,0.059811228,53.76548908,0.35237257
Suffolk,103,1/20/21,20,2021,-6.855897888,-1.217413226,4.421071436,0.155362473,61.69887327,0.274277455
Suffolk,103,1/21/21,21,2021,-5.925432977,-0.506494005,4.912444968,0,61.3728442,0.285857053
Suffolk,103,1/22/21,22,2021,-1.789087683,2.860944444,7.510976571,0,55.15361677,0.382356795
Suffolk,103,1/23/21,23,2021,-5.993303642,-2.691018797,0.611266047,0,45.40353703,0.287858492
Suffolk,103,1/24/21,24,2021,-5.745977752,-3.019270306,-0.29256286,0,42.71142401,0.287741069
Suffolk,103,1/25/21,25,2021,-4.888346605,-1.173553953,2.541238698,0,42.7600025,0.341511654
Suffolk,103,1/26/21,26,2021,-0.600266731,0.704139785,2.008546302,3.928598814,62.93942369,0.235317247
Suffolk,103,1/27/21,27,2021,-1.05579153,0.903373524,2.862538579,0,68.63861224,0.2059611
Suffolk,103,1/28/21,28,2021,-10.04787429,-4.623180241,0.801513806,0,70.5611728,0.157913993
Suffolk,103,1/29/21,29,2021,-10.56428387,-8.157949951,-5.751616027,0,57.06431826,0.147570615
Suffolk,103,1/30/21,30,2021,-9.919351684,-5.827745434,-1.736139185,0,49.38431343,0.222075957
Suffolk,103,1/31/21,31,2021,-8.031923918,-3.937730724,0.156462469,5.312046813,55.86612494,0.226468746
Suffolk,103,2/1/21,32,2021,-0.415172808,1.67499491,3.765162627,28.64670455,73.77210419,0.187916777
Suffolk,103,2/2/21,33,2021,-0.596711318,1.559140935,3.714993187,1.924095178,72.69960419,0.194373695
Suffolk,103,2/3/21,34,2021,-0.535183306,1.367048441,3.269280189,0.015676938,56.94750085,0.295024507
Suffolk,103,2/4/21,35,2021,-1.438516039,2.445343558,6.329203155,0.009264699,54.36144181,0.366872188
Suffolk,103,2/5/21,36,2021,-0.500020407,4.019879505,8.539779418,0.720202996,67.09155934,0.319634671
Suffolk,103,2/6/21,37,2021,-0.820099554,3.600520315,8.021140185,0,51.43557934,0.429204632
Suffolk,103,2/7/21,38,2021,-7.046455009,-1.484611236,4.077232538,11.62849447,77.66471242,0.113106939
Suffolk,103,2/8/21,39,2021,-8.192809475,-4.281434751,-0.370060026,6.02186120114313E-04,58.90574925,0.207121798
Suffolk,103,2/9/21,40,2021,-4.826486796,-0.888326136,3.049834524,0.620949737,77.06689342,0.1488417
Suffolk,103,2/10/21,41,2021,-4.380732048,-1.204412331,1.971907387,3.525886276,57.80754472,0.253207277
Suffolk,103,2/11/21,42,2021,-6.654679863,-2.531314757,1.592050349,0.042868076,60.63902703,0.228454568
Suffolk,103,2/12/21,43,2021,-6.660393306,-3.282926861,0.094539584,3.43222907533105E-04,48.40119396,0.264611324
Suffolk,103,2/13/21,44,2021,-2.889662961,-1.230236769,0.429189423,0.484037046,53.77646136,0.260898022
Suffolk,103,2/14/21,45,2021,-0.073191355,1.939283946,3.951759248,0.031989302,61.92038739,0.272723135
Suffolk,103,2/15/21,46,2021,0.964929585,4.838096201,8.711262818,12.55980426,56.54492888,0.411971132
Suffolk,103,2/16/21,47,2021,-3.051037617,4.611746279,12.27453017,2.024905305,67.51493996,0.396573721
Suffolk,103,2/17/21,48,2021,-3.469624768,-0.956234342,1.557156084,0.001557644,45.26827667,0.32199054
Suffolk,103,2/18/21,49,2021,-2.962025869,-1.408219491,0.145586887,13.39174023,63.5087746,0.202907809
Suffolk,103,2/19/21,50,2021,-1.322975672,0.088844433,1.500664538,6.816761492,71.38358339,0.177155967
Suffolk,103,2/20/21,51,2021,-4.535016491,-1.104906784,2.325202924,0.234812386,61.53780068,0.237247257
Suffolk,103,2/21/21,52,2021,-6.361477736,-1.640165577,3.081146583,0,52.78437658,0.296941143
Suffolk,103,2/22/21,53,2021,0.542282183,3.933479162,7.324676142,9.711210386,61.66807422,0.337157437
Suffolk,103,2/23/21,54,2021,1.31086172,4.290559594,7.270257468,0,60.79142714,0.345633108
Suffolk,103,2/24/21,55,2021,-1.344416751,0.358004658,2.060426067,11.2250143,84.51452847,0.099036657
Suffolk,103,2/25/21,56,2021,-5.6236246,-0.58581915,4.451986299,7.577741519,75.19525985,0.170323047
Suffolk,103,2/26/21,57,2021,-5.4962265,-1.706400266,2.083425968,1.90164043362936E-04,67.26149995,0.202267358
Suffolk,103,2/27/21,58,2021,-2.789881544,2.70486058,8.199602703,0,74.76235365,0.220468686
